Bentuk Takbaku,Bentuk Baku,Sumber,Dapat Diubah,Ambigu,Memiliki Makna,Memiliki Homonim,Memiliki Homograf,Bentuk Baku Homograf Sama
"abadiat","abadiah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"abah","aba","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"abdul","abdu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"abimana","abaimana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ablur","hablur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Abrap","Abrab","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Abrop","Abrab","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"acan","acah","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"aci","acik","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"adan","azan","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"adek","adik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adenda","adendum","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adenin","adenina","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adesi","adhesi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adhan","azan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adikanda","adinda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adjektif","adjektiva","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"administratur","administrator","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adpertensi","advertensi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adpis","advis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adpokat","alpukat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adstringen","astringen","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"advokat","alpukat","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"adzab","azab","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"adzan","azan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"aestetika","estetika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"aetiologi","etiologi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"afdol","afdal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"afektifitas","afektivitas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
